"file","info","pop","n","fsc","chl","pe"
"Ribalet.20140403.A.0013.fcs","69 S","beads","611","49869","29298","48427"
"Ribalet.20140403.A.0013.fcs","69 S","synecho","740","18921","16727","17781"
"Ribalet.20140403.A.0013.fcs","69 S","crypto1","412","24333","24809","33555"
"Ribalet.20140403.A.0013.fcs","69 S","crypto2","626","25278","23092","29502"
"Ribalet.20140404.A.0001.fcs","11 S","beads","402","50665","29620","48604"
"Ribalet.20140404.A.0001.fcs","11 S","synecho","752","19198","14005","14351"
"Ribalet.20140404.A.0001.fcs","11 S","crypto1","26","25962","25467","32148"
"Ribalet.20140404.A.0001.fcs","11 S","crypto2","194","31527","24073","26440"
"Ribalet.20140404.A.0002.fcs","21 B","beads","579","50552","29523","48503"
"Ribalet.20140404.A.0002.fcs","21 B","synecho","362","18902","15005","16047"
"Ribalet.20140404.A.0002.fcs","21 B","crypto1","337","26100","24898","34071"
"Ribalet.20140404.A.0002.fcs","21 B","crypto2","309","29067","24758","31418"
"Ribalet.20140404.A.0003.fcs","29 M","beads","854","50538","29394","48393"
"Ribalet.20140404.A.0003.fcs","29 M","synecho","392","18968","16221","17503"
"Ribalet.20140404.A.0003.fcs","29 M","crypto1","401","27776","26353","35082"
"Ribalet.20140404.A.0003.fcs","29 M","crypto2","328","28532","24576","30227"
"Ribalet.20140404.A.0004.fcs","35 M","beads","860","50541","29401","48383"
"Ribalet.20140404.A.0004.fcs","35 M","synecho","256","19678","15947","18362"
"Ribalet.20140404.A.0004.fcs","35 M","crypto1","671","27892","25778","34287"
"Ribalet.20140404.A.0004.fcs","35 M","crypto2","401","28883","23141","28939"
"Ribalet.20140404.A.0005.fcs","41 B","beads","369","50576","29570","48533"
"Ribalet.20140404.A.0005.fcs","41 B","synecho","107","19523","14494","16539"
"Ribalet.20140404.A.0005.fcs","41 B","crypto1","323","28847","26059","34446"
"Ribalet.20140404.A.0005.fcs","41 B","crypto2","100","28291","21848","27516"
"Ribalet.20140404.A.0006.fcs","61 M","beads","372","50605","29490","48453"
"Ribalet.20140404.A.0006.fcs","61 M","synecho","242","18629","15626","17622"
"Ribalet.20140404.A.0006.fcs","61 M","crypto1","306","22741","22529","31322"
"Ribalet.20140404.A.0006.fcs","61 M","crypto2","609","24606","21664","28514"
"Ribalet.20140404.A.0007.fcs","79 M","beads","576","50553","29438","48409"
"Ribalet.20140404.A.0007.fcs","79 M","synecho","763","19561","16668","18438"
"Ribalet.20140404.A.0007.fcs","79 M","crypto1","260","25238","26382","35413"
"Ribalet.20140404.A.0007.fcs","79 M","crypto2","340","27120","25318","32247"
"Ribalet.20140404.A.0008.fcs","87 S","beads","686","50475","29409","48384"
"Ribalet.20140404.A.0008.fcs","87 S","synecho","2902","19166","15372","16715"
"Ribalet.20140404.A.0008.fcs","87 S","crypto1","95","26131","27546","36165"
"Ribalet.20140404.A.0008.fcs","87 S","crypto2","132","27980","25920","31540"
"Ribalet.20140404.A.0009.fcs","93 S","beads","476","50490","29420","48405"
"Ribalet.20140404.A.0009.fcs","93 S","synecho","865","19849","17960","20053"
"Ribalet.20140404.A.0009.fcs","93 S","crypto1","192","25211","26225","35323"
"Ribalet.20140404.A.0009.fcs","93 S","crypto2","151","27894","26011","32856"
"Ribalet.20140404.A.0010.fcs","101 B","beads","492","50540","29390","48361"
"Ribalet.20140404.A.0010.fcs","101 B","synecho","249","19615","18138","21349"
"Ribalet.20140404.A.0010.fcs","101 B","crypto1","465","24880","26804","36370"
"Ribalet.20140404.A.0010.fcs","101 B","crypto2","238","27578","26894","34768"
"Ribalet.20140826.A.0001.fcs","13M","beads","1934","50370","30546","49509"
"Ribalet.20140826.A.0001.fcs","13M","synecho","581","19023","14121","14182"
"Ribalet.20140826.A.0001.fcs","13M","crypto1","159","28306","25440","31596"
"Ribalet.20140826.A.0001.fcs","13M","crypto2","62","34825","28781","30015"
"Ribalet.20140826.A.0002.fcs","43M","beads","566","50400","30489","49467"
"Ribalet.20140826.A.0002.fcs","43M","synecho","181","18639","14840","17157"
"Ribalet.20140826.A.0002.fcs","43M","crypto1","522","27596","25971","34157"
"Ribalet.20140826.A.0002.fcs","43M","crypto2","299","28155","22783","28347"
"Ribalet.20140826.A.0003.fcs","45S","beads","604","50336","30422","49412"
"Ribalet.20140826.A.0003.fcs","45S","synecho","182","18646","16368","19005"
"Ribalet.20140826.A.0003.fcs","45S","crypto1","460","27753","27553","36358"
"Ribalet.20140826.A.0003.fcs","45S","crypto2","232","27647","23532","30483"
"Ribalet.20140826.A.0004.fcs","49M","beads","523","50300","30457","49448"
