file,info.y,info.x,time,pop,n,fsc,chl,pe,vol
Ribalet.20140404.A.0001.fcs,11,S,09/11/13 09:30:00 AM,crypto1,26,25962,25467,32148,0.07
Ribalet.20140404.A.0002.fcs,21,B,09/12/13 09:51:00 AM,crypto2,309,29067,24758,31418,0.07
Ribalet.20140404.A.0002.fcs,21,B,09/12/13 09:51:00 AM,crypto1,337,26100,24898,34071,0.07
Ribalet.20140404.A.0002.fcs,21,B,09/12/13 09:51:00 AM,synecho,362,18902,15005,16047,0.07
Ribalet.20140404.A.0002.fcs,21,B,09/12/13 09:51:00 AM,beads,579,50552,29523,48503,0.07
Ribalet.20140404.A.0003.fcs,29,M,09/16/13 12:35:00 PM,crypto2,328,28532,24576,30227,0.13
Ribalet.20140404.A.0003.fcs,29,M,09/16/13 12:35:00 PM,crypto1,401,27776,26353,35082,0.13
Ribalet.20140404.A.0003.fcs,29,M,09/16/13 12:35:00 PM,synecho,392,18968,16221,17503,0.13
Ribalet.20140404.A.0003.fcs,29,M,09/16/13 12:35:00 PM,beads,854,50538,29394,48393,0.13
Ribalet.20140404.A.0004.fcs,35,M,09/17/13 01:15:00 PM,crypto1,671,27892,25778,34287,0.11
Ribalet.20140404.A.0004.fcs,35,M,09/17/13 01:15:00 PM,beads,860,50541,29401,48383,0.11
Ribalet.20140404.A.0004.fcs,35,M,09/17/13 01:15:00 PM,synecho,256,19678,15947,18362,0.11
Ribalet.20140404.A.0004.fcs,35,M,09/17/13 01:15:00 PM,crypto2,401,28883,23141,28939,0.11
Ribalet.20140404.A.0005.fcs,41,B,09/18/13 01:50:00 PM,synecho,107,19523,14494,16539,0.05
Ribalet.20140404.A.0005.fcs,41,B,09/18/13 01:50:00 PM,crypto1,323,28847,26059,34446,0.05
Ribalet.20140404.A.0005.fcs,41,B,09/18/13 01:50:00 PM,beads,369,50576,29570,48533,0.05
Ribalet.20140404.A.0005.fcs,41,B,09/18/13 01:50:00 PM,crypto2,100,28291,21848,27516,0.05
Ribalet.20140404.A.0006.fcs,61,M,09/23/13 05:02:00 PM,synecho,242,18629,15626,17622,0.08
Ribalet.20140404.A.0006.fcs,61,M,09/23/13 05:02:00 PM,crypto1,306,22741,22529,31322,0.08
Ribalet.20140404.A.0006.fcs,61,M,09/23/13 05:02:00 PM,beads,372,50605,29490,48453,0.08
Ribalet.20140404.A.0006.fcs,61,M,09/23/13 05:02:00 PM,crypto2,609,24606,21664,28514,0.08
Ribalet.20140404.A.0007.fcs,79,M,09/26/13 10:30:00 AM,crypto1,260,25238,26382,35413,0.08
Ribalet.20140404.A.0007.fcs,79,M,09/26/13 10:30:00 AM,crypto2,340,27120,25318,32247,0.08
Ribalet.20140404.A.0007.fcs,79,M,09/26/13 10:30:00 AM,synecho,763,19561,16668,18438,0.08
Ribalet.20140404.A.0007.fcs,79,M,09/26/13 10:30:00 AM,beads,576,50553,29438,48409,0.08
Ribalet.20140404.A.0008.fcs,87,S,09/27/13 10:03:00 AM,crypto2,132,27980,25920,31540,0.09
Ribalet.20140404.A.0008.fcs,87,S,09/27/13 10:03:00 AM,beads,686,50475,29409,48384,0.09
Ribalet.20140404.A.0008.fcs,87,S,09/27/13 10:03:00 AM,crypto1,95,26131,27546,36165,0.09
Ribalet.20140404.A.0008.fcs,87,S,09/27/13 10:03:00 AM,synecho,2902,19166,15372,16715,0.09
Ribalet.20140404.A.0009.fcs,93,S,09/30/13 11:45:00 AM,crypto1,192,25211,26225,35323,0.08
Ribalet.20140404.A.0009.fcs,93,S,09/30/13 11:45:00 AM,synecho,865,19849,17960,20053,0.08
