time[YYYY-MM-DD hh:mm:ss PST], turbidity
"2013/09/04 12:59:37", 3.790
"2013/09/04 12:59:39", 3.780
"2013/09/04 12:59:41", 3.830
"2013/09/04 12:59:43", 3.770
"2013/09/04 12:59:45", 3.770
"2013/09/04 12:59:47", 3.730
"2013/09/04 12:59:49", 3.770
"2013/09/04 12:59:51", 3.990
"2013/09/04 12:59:53", 3.990
"2013/09/04 12:59:55", 3.840
"2013/09/04 12:59:57", 3.790
"2013/09/04 12:59:59", 3.880
"2013/09/04 13:00:01", 3.820
"2013/09/04 13:02:33", 3.790
"2013/09/04 13:02:35", 3.790
"2013/09/04 13:02:37", 3.760
"2013/09/04 13:02:39", 3.790
"2013/09/04 13:02:41", 3.820
"2013/09/04 13:02:43", 3.770
"2013/09/04 13:02:45", 3.770
"2013/09/04 13:02:47", 3.830
"2013/09/04 13:02:49", 3.880
"2013/09/04 13:02:51", 3.840
"2013/09/04 13:02:53", 3.780
"2013/09/04 13:02:55", 3.760
"2013/09/04 13:02:57", 3.780
"2013/09/04 13:02:59", 3.830
"2013/09/04 13:03:01", 3.830
"2013/09/04 13:05:31", 3.680
"2013/09/04 13:05:33", 3.680
"2013/09/04 13:05:35", 3.740
"2013/09/04 13:05:37", 3.760
"2013/09/04 13:05:39", 3.830
"2013/09/04 13:05:41", 3.780
"2013/09/04 13:05:43", 3.790
"2013/09/04 13:05:45", 3.760
"2013/09/04 13:05:47", 3.730
"2013/09/04 13:05:49", 3.770
"2013/09/04 13:05:51", 3.790
"2013/09/04 13:05:53", 3.820
"2013/09/04 13:05:55", 3.740
"2013/09/04 13:05:57", 3.720
"2013/09/04 13:05:59", 3.780
"2013/09/04 13:06:01", 3.960
"2013/09/04 13:08:31", 4.130
"2013/09/04 13:08:33", 3.920
"2013/09/04 13:08:35", 3.830
"2013/09/04 13:08:37", 3.850
"2013/09/04 13:08:39", 3.790
"2013/09/04 13:08:41", 3.780
"2013/09/04 13:08:43", 3.880
"2013/09/04 13:08:45", 3.980
"2013/09/04 13:08:47", 3.880
"2013/09/04 13:08:49", 3.820
"2013/09/04 13:08:51", 3.870
"2013/09/04 13:08:53", 3.830
"2013/09/04 13:08:55", 3.780
"2013/09/04 13:08:57", 3.750
"2013/09/04 13:08:59", 3.780
"2013/09/04 13:09:01", 3.780
"2013/09/04 13:11:33", 4.530
"2013/09/04 13:11:35", 4.490
"2013/09/04 13:11:37", 3.850
"2013/09/04 13:11:39", 3.820
"2013/09/04 13:11:41", 3.770
"2013/09/04 13:11:43", 3.750
"2013/09/04 13:11:45", 3.810
"2013/09/04 13:11:47", 3.850
"2013/09/04 13:11:49", 3.780
"2013/09/04 13:11:51", 3.790
"2013/09/04 13:11:53", 3.810
"2013/09/04 13:11:55", 3.910
"2013/09/04 13:11:57", 3.740
"2013/09/04 13:11:59", 3.730
"2013/09/04 13:12:01", 3.740
"2013/09/04 13:14:31", 3.800
"2013/09/04 13:14:33", 4.160
"2013/09/04 13:14:35", 4.000
"2013/09/04 13:14:37", 3.840
"2013/09/04 13:14:39", 3.870
"2013/09/04 13:14:41", 3.910
"2013/09/04 13:14:43", 3.790
"2013/09/04 13:14:45", 3.910
"2013/09/04 13:14:47", 3.910
"2013/09/04 13:14:49", 3.830
"2013/09/04 13:14:51", 3.760
"2013/09/04 13:14:53", 3.810
"2013/09/04 13:14:55", 3.760
"2013/09/04 13:14:57", 3.750
"2013/09/04 13:14:59", 3.760
"2013/09/04 13:15:01", 3.780
"2013/09/04 13:17:33", 3.790
"2013/09/04 13:17:35", 3.710
"2013/09/04 13:17:37", 3.720
"2013/09/04 13:17:39", 3.770
"2013/09/04 13:17:41", 3.780
"2013/09/04 13:17:43", 3.770
"2013/09/04 13:17:45", 3.730
"2013/09/04 13:17:47", 3.770
"2013/09/04 13:17:49", 3.810
"2013/09/04 13:17:51", 3.790
"2013/09/04 13:17:53", 3.780
"2013/09/04 13:17:55", 3.780
"2013/09/04 13:17:57", 3.720
"2013/09/04 13:17:59", 3.800
"2013/09/04 13:18:01", 3.830
"2013/09/04 13:23:33", 3.700
"2013/09/04 13:23:35", 3.720
"2013/09/04 13:23:37", 3.660
"2013/09/04 13:23:39", 3.680
"2013/09/04 13:23:41", 3.810
"2013/09/04 13:23:43", 3.690
"2013/09/04 13:23:45", 3.770
"2013/09/04 13:23:47", 3.690
"2013/09/04 13:23:49", 3.650
"2013/09/04 13:23:51", 3.750
"2013/09/04 13:23:53", 3.820
"2013/09/04 13:23:55", 3.750
"2013/09/04 13:23:57", 3.720
"2013/09/04 13:23:59", 3.850
"2013/09/04 13:24:01", 3.780
"2013/09/04 13:26:33", 3.610
"2013/09/04 13:26:35", 3.640
"2013/09/04 13:26:37", 3.750
"2013/09/04 13:26:39", 3.730
"2013/09/04 13:26:41", 3.810
"2013/09/04 13:26:43", 3.820
"2013/09/04 13:26:45", 3.730
"2013/09/04 13:26:47", 3.810
"2013/09/04 13:26:49", 3.750
"2013/09/04 13:26:51", 3.620
"2013/09/04 13:26:53", 3.650
"2013/09/04 13:26:55", 3.650
"2013/09/04 13:26:57", 3.630
"2013/09/04 13:26:59", 3.610
"2013/09/04 13:27:01", 3.600
"2013/09/04 13:29:31", 3.670
"2013/09/04 13:29:33", 3.610
"2013/09/04 13:29:35", 3.640
"2013/09/04 13:29:37", 3.690
"2013/09/04 13:29:39", 3.940
